FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
ALL SET,"8630 FENTON STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,02/05/2018
BEMNET SUPERMARKET AND DELI,"617 SLIGO AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000.00 + ALERT,07/22/2016
CANOPY,"940 ROSE AVE , NORTH BETHESDA, MD 20852",SALE TO MINOR,SETTLED; $1000+ALERT,12/12/2018
CHIPOTLE MEXICAN GRILL - KENTLANDS,"96 MAIN STREET , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $2500+ALERT,09/14/2018
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,06/28/2018
SIRIWAN THAI RESTAURANT,"736 CLOVERLY STREET , SILVER SPRING, MD 20905",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/12/2017
URBAN BAR-B-QUE,"10163 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20903",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,11/21/2018
KING FARM WINE & BEER,"402 KING FARM BLVD., UNIT 100 , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/17/2017
CHEESE & WINE SHOPPE,"2501 ENNALLS AVE. , WHEATON, MD 20902",APPLICATION - FAILURE TO UPDATE,SETTLED; $1000+ALERT,09/10/2018
BOULEVARD TAVERN,"311 KENTLANDS BOULEVARD , GAITHERSBURG, MD 20878",DISORDERLY HOUSE,SETTLED; $1000 + ALERT,09/19/2017
PINSTRIPES,"851 ROSE AVE. , NORTH BETHESDA, MD 20852",SALE TO MINOR,SETTLED; $1000+ALERT,12/03/2018
BENIHANA OF TOKYO,"7935 WISCONSIN AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,02/06/2018
BEMNET SUPERMARKET AND DELI,"617 SLIGO AVENUE , SILVER SPRING, MD 20910",STORAGE,SETTLED; $200+ALERT,01/23/2019
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/13/2018
M & N PIZZA,"7750 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,10/24/2017
MASTER 8 BILLIARDS,"2640 UNIVERITY BLVD. , SILVER SPRING, MD 20902",SALE TO MINOR,"SETTLED; $1500.00
+ALERT",02/12/2016
GISELES CREOLE CUISINE,"2407 PRINCE AVENUE , SILVER SPRING, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,10/11/2018
GIUSEPPI'S PIZZA PLUS,"335 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $2500+ALERT,12/18/2018
JO'S BEER AND WINE,"18507 N. FREDERICK AVENUE , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED; $1000+ALERT,09/13/2018
SPENCERVILLE MARKET,"2215 SPENCERVILLE ROAD , SPENCERVILLE, MD 20860",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/11/2017
RED ROBIN,"20001 CENTURY BLVD. , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/15/2017
SUPER CHICKEN,"12611 H WISTERIA DRIVE , GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/13/2018
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,05/04/2016
HOWARD DELI,"4222 HOWARD AVE. D, KENSINGTON, MD 20895",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,11/20/2018
BISTRO PROVENCE,"4933 FAIRMONT AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,03/19/2018
GREATEST AMERICAN HOT DOGS,"7206 MUNCASTER MILL ROAD , DERWOOD, MD 20855",SALE TO MINOR,SETTLED; $1000.00 + ALERT,08/18/2016
WORLD GOURMET WINE & BEER,"7905 TUCKERMAN LANE , POTOMAC, MD 20854",SALE TO MINOR,SETTLED;$1000+ALERT,02/11/2019
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/01/2017
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/25/2017
LILIT CAFE,"7921 OLD GEORGETOWN RD , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,12/18/2017
PASSAGE TO INDIA,"4931 CORDELL AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,03/27/2018
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,09/14/2018
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/24/2016
PI PIZZERIA,"7137 WISCONSIN AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,02/05/2018
JOSE'S GRILL,"11423 GEORGIA AVE. , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $3000.00 + ALERT,09/09/2016
TEX'S PLACE,"14630 SOUTHLAWN LANE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,11/08/2018
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",SALE/SERVICE TO INTOXICATED PATRON,HEARING; TWO WEEK SUSPENSION,09/15/2016
MODERN MARKET ROCKVILLE,"1627 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,03/09/2017
LITTLE DIPPER HOT POT SAUCE,"78101 A GIBBS STREET , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,03/13/2018
ISLAND PRIDE OASIS,"617 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",STORAGE,SETTLLED; $200.00 + ALERT,07/07/2017
WOK EXPRESS,"9615 LOST KNIFE ROAD , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,03/06/2018
CHIPOTLE MEXICAN GRILL,"4471 WILLIARD AVENUE , CHEVY CHASE, MD 20815",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/29/2016
BRIGHTON BEER & WINE,"225 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/27/2016
GUAPO'S,"411 NORTH FREDERICK AVE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,07/05/2016
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",SALE TO MINOR,SETTLED; $2500 + ALERT,01/20/2016
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/30/2017
FAMOUS DAVE'S,"20650 SENECA MEADOWS PKWY , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/03/2017
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",NOISE/DISTURBANCE OF THE NEIGHBORHOOD,HEARING; LICENSE REVOKED,10/05/2016
ARCLIGHT CINEMAS,"7101 DEMOCRACY BLVD , BETHESDA, MD 20817",SALE TO MINOR,SETTLED; $1000 + ALERT,10/02/2017
LEDO PIZZA,"10058 DARNESTOWN ROAD , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000+ALERT,12/12/2018
BELBY DISCOUNT BEER & WINE,"888 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,11/13/2018
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,09/13/2018
PI PIZZERIA,"7137 WISCONSIN AVENUE , BETHESDA, MD 20814",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,02/05/2018
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",LICENSE NOT PROPERLY DISPLAYED,HEARING; $100 FINE,08/23/2016
KOI ASIAN CUISINE,"12046 CHERRY HILL ROAD , SILVER SPRING, MD 20904",SALE TO MINOR,"SETTLED; $1,000.00 + ALERT",05/23/2016
7  ELEVEN FOOD STORE 11713A,"14101 GEORGIA AVE. , WHEATON, MD 20906",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,04/19/2018
THAI TANIUM,"657 CENTER POINT WAY , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/17/2016
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/17/2017
SMOKE BBQ,"4858 CORDELL AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/02/2016
TANDOORI NIGHTS-BETHESDA,"7236 WOODMONT AVENUE , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,03/21/2016
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/21/2017
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,08/02/2018
MAMMA LUCIA,"4916 ELM STREET , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $2500 + ALERT,12/05/2017
ISLAND PRIDE OASIS,"617 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",RECORDS INVOICE VIOLATION,SETTLED; 500+ALERT,01/16/2018
LESAAC CAFE,"8200 FENTON STREET , SILVER SPRING, MD 20910",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,06/23/2016
THE YO YO CAFE,"13843 OUTLET DRIVE , SILVER SPRING, MD 20904",SALE TO MINOR,SETTLED; $1000 + ALERT,11/06/2017
MARK'S KITCHEN,"7006 CARROLL AVENUE , TAKOMA PARK, MD 20912",SALE TO MINOR,SETTLED;$1000+ALERT,08/15/2018
FLOR DE LUNA RESTAURANT,"11417 WOODGLEN RD , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,02/14/2017
KINGSVIEW BEER & WINE,"13406 KINGSVIEW VILLAGE AVENUE , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/13/2016
KING FARM WINE & BEER,"402 KING FARM BLVD., UNIT 100 , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00,03/17/2017
KADHAI INDIAN CUISINE,"7905 NORFOLK AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/18/2016
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,02/09/2018
4935 BAR & KITCHEN,"4935 CORDELL AVENUE , BETHESDA, MD 20814",DISORDERLY HOUSE,SETTLED; $2500 + ALERT,12/13/2017
MISSON BBQ,"885 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000 + ALERT,10/05/2017
SUGO MACARONI BAR,"12505 PARK POTOMAC AVENUE , POTOMAC, MD 20854",SALE TO MINOR,SETTLED;$1000+ALERT,02/21/2019
REDMILL MARKET BEER & WINE,"7248 MUNCASTER MILL ROAD , DERWOOD, MD 20855",SALE TO MINOR,SETTLED; $1000+ALERT,10/08/2018
QDOBA MEXICAN GRILL,"128 ROLLINS AVE. , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,12/18/2018
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",DISORDERLY HOUSE,"HEARING; $4,000 FINE",09/15/2016
RIVERSIDE LOUNGE,"11272 GEORGIA AVENUE , WHEATON, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ EMPLOYEE RECORDS,07/24/2018
LOTUS CAFE,"8077 GEORGIA AVE , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,02/14/2018
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,07/28/2016
TACO BAR,"3 RUSSELL AVE A, GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,09/05/2017
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",SALE TO MINOR,SETTLED; $1000+ALERT,09/18/2018
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",STORAGE,SETTLED; $1000+ALERT,09/14/2018
DAVE & BUSTER'S,"8661 COLESVILLE RD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,04/06/2018
EL SOL SALVADOREAN & MEXICAN RESTAURANT,"13881 OUTLET DRIVE C, SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,09/07/2018
EVEN HOTEL,"1775 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,11/20/2018
GREEN GROWLER'S,"227 E. DIAMOND AVE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,04/25/2018
RUBY TUESDAY,"19800 CENTURY BLVD. , GERMANTOWN, MD 20874",SALE TO MINOR,"HEARING; $8,000 FINE",01/19/2017
IL PIZZICO,"15209 FREDERICK ROAD , ROCKVILLE, MD 20850-1112",SALE TO MINOR,SETTLED; $1000 + ALERT,09/19/2017
FIRE STATION 1,"8131 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,$1000+ALERT,05/06/2018
AGRODOLCE,"21030 FREDERICK ROAD J, GERMANTOWN, MD 20876",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,10/08/2018
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/04/2016
LA CASITA,"2 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/19/2016
PICCA POLLO A LA BRASA,"13000 MIDDLEBROOK ROAD , GREMANTOWN, MD 20874",SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/03/2017
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/26/2017
ROLLINS BEER & WINE,"151 ROLLINS AVE. , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000+ALERT,12/07/2018
NEW VILLAGE RESTAURANT,"11540 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,09/11/2017
COURTYARD BY MARRIOTT - SILVER SPRING,"8506 FENTON STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,03/05/2018
FIRE STATION 1,"8131 GEORGIA AVENUE , SILVER SPRING, MD 20910",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $2500+ALERT,07/19/2018
MEZEH MEDITERRANEAN GRILL,"262 CROWN PARK AVENUE , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED;$1000+ALERT,10/30/2018
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",SALE/SERVICE TO INTOXICATED PATRON,HEARING; $1000 FINE,04/14/2016
SHANGRI-LA,"7345 WISCONSIN AVENUE A, BETHESDA, MD 20814",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,01/29/2018
BAR LOUIE WHEATON,"11160 VEIRS MILL RD , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/09/2017
CHIPOTLE MEXICAN GRILL - KENTLANDS,"96 MAIN STREET , GAITHERSBURG, MD 20878",AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,09/14/2018
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,01/17/2019
I ROCK KARAOKE LOUNGE,"15964 SHADY GROVE RD. , GAITHERSBURG, MD 20877",RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,07/06/2018
CHARM THAI RESTAURANT,"8408 GEORGIA AVENUE UNIT A, SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,01/03/2018
RADISSON HOTEL DC,"3 RESEARCH BLVD. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,02/20/2019
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $2500.00 + ALERT,07/01/2016
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,09/13/2018
PARKWAY DELICATESSEN,"8317 GRUBB ROAD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,12/22/2017
REDGATE GOLF COURSE,"14500 AVERY ROAD , ROCKVILLE, MD 20853",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/30/2017
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",FAILURE TO PURCHASE FROM APPROVED SOURCE,SETTLED; $400.00 + ALERT,10/18/2016
MEZEH MEDITERRANEAN GRILL,"262 CROWN PARK AVENUE , GAITHERSBURG, MD 20878",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,10/30/2018
CLYDES TOWER OAKS LODGE,"2 PRESERVE PKWY. , ROCKVILLE, MD 20852",RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,10/20/2017
OGEI'S CHICKEN & SUBS,"293 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",SALE TO MINOR,HEARING; LICENSE REVOKED; STAY PENDING APPEAL,05/31/2016
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,07/03/2017
P.F. CHANG'S CHINA BISTRO,"5406 WISCONSIN AVENUE B, CHEVY CHASE, MD 20815",SALE TO MINOR,SETTLED; $1000 + ALERT,01/30/2018
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
NOT YOUR AVERAGE JOE'S,"239 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,04/29/2016
WINTHORPE VALENTINE'S COMMUNITY RESTAURANT,"7700 NORFOLK AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/13/2017
POLLO-MEX,"13436 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,10/14/2016
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",APPLICATION - FALSE INFORMATION,SETTLED; $1000.00 + ALERT,06/07/2017
GREATEST AMERICAN HOT DOGS,"7206 MUNCASTER MILL ROAD , DERWOOD, MD 20855",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,12/07/2017
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,"SETTLED; $1,000 + ALERT",01/19/2016
JACKIE'S,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",SALE TO MINOR,"SETTLED; $2,500 + ALERT",01/27/2016
SUPER BOWL NOODLE HOUSE,"785 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,02/15/2017
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,08/02/2018
VEGETABLE GARDEN,"3830 INTERNATIONAL DRIVE , SILVER SPRING, MD 20906",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,11/13/2018
COURTYARD BY MARRIOTT,"204 BOARDWALK PLACE , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/20/2016
PACIFICA CAFE,"621 CENTER POINT WAY , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED;$1000+ALERT,10/17/2018
MOTI'S MARKET,"4860 BOILING BROOK PKWY. , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $2500 + ALERT,01/26/2018
NOT YOUR AVERAGE JOE'S,"239 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,08/21/2018
BETHESDA CRAB HOUSE,"4958 BETHESDA AVE. , BETHESDA, MD 20814-5204",SALE TO MINOR,SETTLED; $1000 + ALERT,10/18/2017
LA FONDA CHIQUITA CAFE,"6838 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",SALE TO MINOR,SETTLED; $1000+ALERT,06/26/2018
SPRING BEER & WINE,"8645 16TH STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/17/2016
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR RD , GAITHERSBURG, MD 20879",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/04/2018
DOUBLETREE HOTEL,"8120 WISCONSIN AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $2500.00 & ALERT,05/13/2016
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,05/29/2018
HOLIDAY INN EXPRESS & SUITES,"20260 GOLDENROD LANE , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000 + ALERT,09/13/2017
CHOICE WINE & BEER,"11160 VEIRS MILL RD , WHEATON, MD 20902",SALE TO MINOR,SETTLED;$1000+ALERT,08/15/2018
SAMANTHA'S,"631 UNIVERSITY BLVD. E. , SILVER SPRING, MD 20901",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,08/16/2016
EL AGUILA RESTAURANT,"8649 16TH STREET , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,11/28/2017
TACO BAR,"10003 FIELDS ROAD B, GAITHERSBURG, MD 20878",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,09/14/2018
RED BOWL,"12051 C-4 CHESTNUT BRANCH WAY , CLARKSBURG, MD 20871",SALE TO MINOR,SETTLED; $1000+ALERT,09/14/2018
DINGNESH ETHIOPIAN RESTAURANT,"4865 CORDELL AVE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,03/22/2018
SPENCERVILLE MARKET,"2215 SPENCERVILLE ROAD , SPENCERVILLE, MD 20860",SALE TO MINOR,SETTLED; $1000 + ALERT,12/11/2017
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/08/2018
"BEST BEER, WINE, & DELI","18749 NORTH FREDERICK AVENUE A, GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,10/12/2018
LUKE'S LOBSTER,"7129 BETHESDA LANE , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,01/26/2018
NEWS EXPRESS,"4853 CORDELL AVENUE , BETHESDA, MD 20814",SALE TO MINOR,"SETTLED; $1,000.00 + ALERT",04/20/2016
EVA LOUNGE,"953 BONIFANT STREET , SILVER SPRING, MD 20910",DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,$1000+ALERT,11/09/2018
THE BEER & WINE CELLAR,"146 CONGRESSIONAL LANE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/21/2017
OLD WORLD FAVORITES,"3854 INTERNATIONAL DRIVE , SILVER SPRING, MD 20906",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,09/05/2017
IKKO,"1215 EAST-WEST HIGHWAY , SILVER SPRING, MD 20910",SALE TO MINOR,"SETTLED; $1,000 + ALERT",02/02/2016
THAI PAVILION,"29 MARYLAND AVENUE 308, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,02/14/2019
SASUNS,"7217 MUNCASTER MILL RD , DERWOOD, MD 20855",SALE TO MINOR,SETTLED;$1000+ALERT,11/06/2018
